id,code,SMILES,mechanism_id
2012.0,TNZtPPI,CC(C)(C)C(C=C1)=CC=C1N2C3=C(C(C=CC=C4)=C4C5=C3C=CC=C5)N=C2C(C=C6)=CC=C6C(C7=NSN=C78)=C9C(C=CC=C9)=C8C(C=C%10)=CC=C%10N(C%11=CC=CC=C%11)C%12=CC=CC=C%12,TICT
2013.0,TNZ2tPPI,CC(C)(C)C1=CC(N2C3=C(C(C=CC=C4)=C4C5=C3C=CC=C5)N=C2C(C=C6)=CC=C6C(C7=NSN=C78)=C9C(C=CC=C9)=C8C(C=C%10)=CC=C%10N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)=CC(C(C)(C)C)=C1,TICT
2014.0,TNZ,C1(N(C2=CC=C(C3=C(C=CC=C4)C4=CC5=NSN=C53)C=C2)C6=CC=CC=C6)=CC=CC=C1,TICT
2016.0,PheTNZ,C1(N(C2=CC=C(C3=C(C=CC=C4)C4=C(C5=C(C=CC=C6)C6=C(C=CC=C7)C7=C5)C8=NSN=C83)C=C2)C9=CC=CC=C9)=CC=CC=C1,TICT
2038.0,CBBHA-4,O=C(N/N=C/C1=CC(C(C2=CC(/C=N/NC(C3=CC=C(OCCCC)C=C3)=O)=C(O)C=C2)=O)=CC=C1O)C4=CC=C(OCCCC)C=C4,ICT
2039.0,CBBHA-8,O=C(N/N=C/C1=CC(C(C2=CC(/C=N/NC(C3=CC=C(OCCCCCCCC)C=C3)=O)=C(O)C=C2)=O)=CC=C1O)C4=CC=C(OCCCCCCCC)C=C4,ESIPT
2042.0,2N-DPAS,OC(C=CC=C1)=C1/C=N/N=C(C2=CC=C(N(CC)CC)C=C2)/C3=CC=C(N(CC)CC)C=C3,ESIPT
2047.0,TBP,S1N=C2C(=N1)C(=CC=C2C1=CC=NC=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,TICT
2050.0,CSMPP,CN1CCN(CC1)C1=CC=C(C=C(/C#N)C2=CC=C(C=C2)C2=CC=NC=C2)C=C1,TICT
2056.0,TBTO,CC[N+](CC)([O-])C(C=C1)=CC=C1N(C2=CC=C([N+](CC)([O-])CC)C=C2)C(C=C3)=CC=C3C4=CC=C(C5=CC=C(N(C6=CC=C([N+](CC)([O-])CC)C=C6)C7=CC=C([N+](CC)([O-])CC)C=C7)C=C5)C8=NSN=C84,ESIPT
2063.0,CN-TPB-TPA,N#CC(C=C1)=CC=C1C2=C(C3=CC=CC=C3)C=C(C4=CC=C(C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C=C4)C(C8=CC=CC=C8)=C2,TICT
2065.0,CN-TPB-AD,CC(C1=C2C=CC=C1)(C)C3=C(C=CC=C3)N2C(C=C4)=CC=C4C5=CC(C6=CC=CC=C6)=C(C7=CC=C(C#N)C=C7)C=C5C8=CC=CC=C8,TICT
2066.0,TPB-CzC1,N#CC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=C(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)C=C2C8=CC=CC=C8,TICT
2067.0,TPB-CzC2,N#CC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=C(C4=CC=C(C5=CC=C(N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C5)C=C4)C=C2C9=CC=CC=C9,TICT
2068.0,TPB-CzC3,N#CC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=C(C4=CC=C(C5=CC=C(N(C6=CC=CC=C6)C7=C8C=CC=C7)C8=C5)C=C4)C=C2C9=CC=CC=C9,TICT
2069.0,PXZ-TPB-CN,N#CC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=C(C4=CC=C(N5C(C=CC=C6)=C6OC7=C5C=CC=C7)C=C4)C=C2C8=CC=CC=C8,TICT
2076.0,TPE-RNS,O=C1N(NC(NC2=CC=CC=C2)=S)C3(C(C=CC(N(CC)CC)=C4)=C4OC5=C3C=CC(N(CC)CC)=C5)C(C1=C6)=CC=C6C(C=C7)=CC=C7/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10,ESIPT
2115.0,PI,O=C1C2=C(C=CC=C2)C(/C1=C/C(C=C3)=CC4=C3N(C5=CC=CC=C5)C(C=CC=C6)=C6S4)=O,TICT
2138.0,FC6-2BP-PXZ,O=C(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)C(C=C5)=CC6=C5C(C=CC(C(C7=CC=C(N8C(C=CC=C9)=C9OC%10=C8C=CC=C%10)C=C7)=O)=C%11)=C%11C6(CCCCCC)CCCCCC,TICT
2156.0,DMF-BP-PXZ,O=C(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)C5=CC6=C(C7=C(C6(C)C)C=CC=C7)C=C5,ICT
2157.0,DPF-BP-PXZ,O=C(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)C5=CC6=C(C7=C(C6(C8=CC=CC=C8)C9=CC=CC=C9)C=CC=C7)C=C5,ICT
2158.0,SBF-BP-PXZ,O=C(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)C5=CC6=C(C7=C(C68C9=CC=CC=C9C%10=C8C=CC=C%10)C=CC=C7)C=C5,ICT
2159.0,DBT-BZ-PXZ,O=C(C1=CC(C(C=CC=C2)=C2S3)=C3C=C1)C4=CC=C(N5C(C=CC=C6)=C6OC7=C5C=CC=C7)C=C4,ICT
2160.0,DBT-BZ-PTZ,O=C(C1=CC(C(C=CC=C2)=C2S3)=C3C=C1)C4=CC=C(N5C(C=CC=C6)=C6SC7=C5C=CC=C7)C=C4,ICT
2161.0,DBT-BZ-DMAC,O=C(C1=CC(C(C=CC=C2)=C2S3)=C3C=C1)C4=CC=C(N5C(C=CC=C6)=C6C(C)(C)C7=C5C=CC=C7)C=C4,ICT
2243.0,DMACP-TTDO,O=S1(C2=C(SC(C3=CC=C(N(C4=CC=CC=C4C5(C)C)C6=C5C=CC=C6)C=C3)=C2C7=CC=C(C(C)(C)C)C=C7)C(C8=CC=C(C(C)(C)C)C=C8)=C1C9=CC=C(N(C%10=CC=CC=C%10C%11(C)C)C%12=C%11C=CC=C%12)C=C9)=O,ESIPT
2248.0,SFDMS,C[Si]1(C)C(C(C=C2)=CC3=C2C(C=CC=C4)=C4C35C6=CC=CC=C6C7=C5C=CC=C7)=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=C1C%10=CC%11=C(C=C%10)C%12=C(C=CC=C%12)C%11%13C%14=CC=CC=C%14C%15=C%13C=CC=C%15,ESIPT
2255.0,TPE-TAPBI,CC(C)(C)C1=CC=C(C(C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C5=CC=CC=C5)C=C2)=C(C=C(C(C)(C)C)C=C6)C6=C7C8=CC=C(C9=NC(C=CC=C%10)=C%10N9C%11=CC=CC=C%11)C=C8)C7=C1,ESIPT
2257.0,TriPE-TAPBI,[H]/C(C(C=C1)=CC=C1C2=C(C=C(C(C)(C)C)C=C3)C3=C(C4=CC=C(C5=NC(C=CC=C6)=C6N5C7=CC=CC=C7)C=C4)C8=CC(C(C)(C)C)=CC=C82)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10,ESIPT
2259.0,FDMS,C[Si]1(C)C(C2=CC=C(C(C=CC=C3)=C3C4)C4=C2)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7=CC(CC8=C9C=CC=C8)=C9C=C7,ESIPT
2260.0,FMPS,C[Si]1(C2=CC=CC=C2)C(C3=CC=C(C(C=CC=C4)=C4C5)C5=C3)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=CC(CC9=C%10C=CC=C9)=C%10C=C8,ESIPT
2261.0,FrDMS,C[Si]1(C)C(C2=C3C(C4=CC=C3)=C(C5=C4C=CC=C5)C=C2)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=C(C=CC=C9C%10=C%11C=CC=C%10)C9=C%11C=C8,ESIPT
2262.0,FrMPS,C[Si]1(C2=CC=CC=C2)C(C3=C4C(C5=CC=C4)=C(C6=C5C=CC=C6)C=C3)=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=C1C9=C(C=CC=C%10C%11=C%12C=CC=C%11)C%10=C%12C=C9,ESIPT
2264.0,NpMPS,C[Si]1(C2=CC=CC=C2)C(C3=CC4=C(C=CC=C4)C=C3)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7=CC(C=CC=C8)=C8C=C7,ESIPT
2265.0,PyDMS,C[Si]1(C)C(C2=C3C(C(C(C=C3)=CC=C4)=C4C=C5)=C5C=C2)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=C(C=CC9=C%10C(C=C%11)=CC=C9)C%10=C%11C=C8,ESIPT
2266.0,PyMPS,C[Si]1(C2=CC=CC=C2)C(C3=C4C(C(C(C=C4)=CC=C5)=C5C=C6)=C6C=C3)=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=C1C9=C(C=CC%10=C%11C(C=C%12)=CC=C%10)C%11=C%12C=C9,ESIPT
2275.0,(MesB)2MPPS,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C4=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C(C7=CC=C(B(C8=C(C)C=C(C)C=C8C)C9=C(C)C=C(C)C=C9C)C=C7)[Si]4(C)C%10=CC=CC=C%10)C=C3,ESIPT
2277.0,(MesB)2HPS,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C4=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C(C7=CC=C(B(C8=C(C)C=C(C)C=C8C)C9=C(C)C=C(C)C=C9C)C=C7)[Si]4(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C3,ESIPT
2293.0,TPEDMesB,CC(C=C(C)C=C1C)=C1B(C2=C(C)C=C(C)C=C2C)C(C=C3)=CC=C3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6,neutral aromatic
2298.0,3TPETPA,C1(N(C2=CC=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)C=C2)C7=CC=C(C8=CC=C(/C(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C8)C=C7)=CC=C(C%12=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%12)C=C1,neutral aromatic
2359.0,But-Phc,O=C(C=C1NCCCC)N(CC2=CC=CC=C2)C1=O,ESIPT
2383.0,TPA-BDTO,O=S1(C(C(C=C1C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=C6C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)S5(=O)=O)OC(CC)CCCC)=C6OC(CC)CCCC)=O,ICT
